标题,关键词
融合细分学科与文本内容的中美英ESI学科布局特征探析,"学科布局,学科多样性,学科均衡性,基本科学指标（ESI）,学科差异性"
数字人文视域下诗人的时空情感轨迹研究——以李白为例,"数字人文,本体,时空情感轨迹,GIS"
基于SC-Attention机制的多模态讽刺检测研究,"多模态,讽刺检测,SC-Attention机制,CLIP模型"
基于潜在主题分布和长、短期用户表示的新闻推荐模型,"新闻推荐,主题模型,神经网络,注意力机制"
基于领域ERNIE和BiLSTM模型的酒店评论观点原因分类研究,"在线评论,观点原因句分类,ERNIE模型,BiLSTM模型"
CNN-SM：基于义原与多特征融合的消费品领域缺陷词识别模型,"消费品,领域词,义原,词向量,卷积神经网络"
基于笔画ELMo嵌入IDCNN-CRF模型的企业风险领域实体抽取研究,"笔画ELMo,迭代膨胀卷积神经网络,条件随机场,实体抽取,风险领域实体"
基于神经网络的医药科技论文实体识别与标注研究,"生物医药实体识别,实体标注,神经网络,注意力机制"
融合患者体征与用药数据的图神经网络药物推荐方法研究,"智慧医疗,图神经网络,深度学习,药物精准推荐"
基于复杂网络的医学语义关联研究,"语义关联,复杂网络,语义关联网络,语义社区,语义聚类"
基于图书目录注意力机制的读者偏好分析与推荐模型研究,"浏览行为,图书目录注意力,读者偏好,个性化推荐,BiLSTM"
基于时序漂移的潜在因子模型推荐方法,"时间序列,兴趣漂移,潜在因子,推荐系统,矩阵分解"
基于异构图神经网络的社交媒体文本主题聚类,"社交媒体,主题聚类,多元交互,异构信息网络,图神经网络"
基于学者画像的科研合作者推荐研究,"学者画像,科研合作者推荐,LDA,PageRank,社会网络分析"
基于计量指标多变量LSTM模型的新兴主题热度预测研究,"多变量LSTM,新兴主题,热度预测,计量指标"
医学影像诊断报告的结构化研究,"医学影像诊断报告,实体识别,规则抽取,结构化"
融入限定关系的专利关键词抽取方法,"专利抽取,限定关系,权利要求,TextRank"
基于BERT和互信息的金融风险逻辑关系量化方法,"金融风险,关系量化,领域知识,BERT,互信息"
基于机器学习的环境监测数据对循环系统疾病死亡影响及预测预警模型构建,"循环系统疾病,预测预警模型,XGBoost,DLNM,随机森林模型"
基于改进型图神经网络的学术论文分类模型,"图神经网络,注意力机制,残差网络,深度学习,论文分类,文本分类"
基于共享最近邻和马尔科夫聚类的网络新闻话题检测方法,"共享最近邻,马尔科夫聚类,网络新闻,话题检测"
基于实时事件侦测的兴趣点推荐系统研究,"实时事件,深度学习,矩阵分解,卷积神经网络,推荐系统"
面向小样本命名实体识别的数据增强算法改进策略研究,"数据增强,简单数据增强,小样本,命名实体识别"
基于SVM和CRF的三孩政策舆情省份差异分析,"三孩,舆情,支持向量机,条件随机场"
知识增强的生物医学文本生成式摘要研究,"生物医学文本挖掘,生成式摘要,领域知识,知识增强"
基于超图注意力网络的生物医学文本分类方法,"文本分类,文本级超图,交叉注意力机制,生物医学领域,标签信息融合"
融合句法信息的文本语料库检索方法研究,"依存句法,成分句法,语料库,索引,检索"
基于改进图卷积神经网络的评论有用性识别,"评论有用性,组块分析,特征观点对,图卷积网络"
基于属性融合的多真值发现方法,"多真值发现,数据冲突,信息质量,多真值属性,辅助属性"
专业技术领域核心专利组合识别方法构建及其应用比较,"核心专利识别,组合识别方法,单一赋权,组合赋权"
新闻话题识别中LDA最优主题数选取研究*,"LDA模型,新闻话题,多视图聚类"
政策文本的知识建模与关联问答研究,"智能问答,文本挖掘,电子政务,政策知识建模,知识图谱,知识聚合"
基于图神经网络的抗结核杆菌药物虚拟筛选模型的建立及应用,"图神经网络,课程式学习,结核杆菌,虚拟筛选"
基于URL多粒度特征融合的钓鱼网站识别,"钓鱼网站识别,特征融合,BERT,Word2Vec,CNN,LSTM"
基于因果分析图的城市交通流短时预测研究,"短时交通流预测,交通时序因果图,时空数据,图神经网络"
基于深度学习的中小微企业综合质量画像构建研究,"中小微企业,综合质量,企业画像,深度学习"
数字人文视域下中国行政区划地名演化知识库构建及分析研究,"数字人文,本体知识库,地名演变,模式匹配,实体识别"
在线评论可行动信息识别研究,"文本评论,文段模型,自然语言处理,可行动信息,BERT"
基于句法依赖增强的主题-问题实例识别方法研究,"问题识别,句法依赖,Transformer,图神经网络"
基于跨模态深度学习的旅游评论反讽识别,"跨模态,深度学习,旅游评论,反讽识别"
基于对抗神经网络的跨模态谣言检测,"谣言检测,对抗神经网络,双向长短时记忆网络,自注意力机制,VGG19"
JIF及其分区对不同国家学者投稿行为的影响研究——基于NPG的月度已录用论文投稿数据,"期刊影响因子,期刊分区,投稿行为,国际合作"
基于意图和情感的南海学术论文引用特征研究,"引用意图,引用情感,引文分类,引文分类图谱,南海"
基于机器阅读理解的非遗文本实体抽取研究,"数字人文,非物质文化遗产,命名实体识别,注意力机制,机器阅读理解"
通过重叠社区结构识别社交网络中的影响力节点,"社交网络,重叠社区,影响力最大化,信息传播"
联合关系上下文负采样的知识图谱嵌入,"知识图谱,负采样策略,实体链接,关系链接"
基于改进D-S证据理论的微博不可信用户识别研究,"微博,不可信用户,主观不确定性,D-S证据理论"
基于异构属性图的案件相似度算法研究,"案件相似度,异构属性图,图相似度算法,图注意力"
融合情感特征的基于RoBERTa-TCN的股价预测研究,"股票预测,情感特征,RoBERTa,时间卷积神经网络,注意力机制"
跨语言情感分析研究综述*,"跨语言,多语言,情感分析,双语词嵌入"
负责任研究与创新的国际研究：知识基础与研究热点*,"负责任研究与创新,知识基础,研究热点"
美国《商业管制清单》中技术指标自动抽取研究*,"商业管制清单,技术指标,自动抽取,无监督"
元宇宙的理想与现实：基于评论挖掘的VR产品用户感知研究*,"元宇宙,VR产品,用户评论,主题聚类,情感分类"
基于CWSA方面词提取模型的差异化需求挖掘方法研究——以京东手机评论为例*,"深度学习,方面词提取,情感分析,差异化需求挖掘"
基于大规模课程大纲数据的中美高校计算机相关课程考核的比较分析*,"课程考核,教学大纲,新工科教育,文本分析"
基于Twitter的学科领域研究前沿探测研究*,"研究前沿,社交媒体,Twitter,领域数据集构建"
基于多标签分类的科技文献学科交叉研究性质识别*,"深度学习,多标签文本分类,学科交叉研究识别,科技文献"
面向被引片段识别的改进混合方法*,"科学文献,被引片段,有监督排序,回归,组内标准化"
基于多头协同注意力机制的客户投诉文本分类模型*,"文本分类,多头协同注意力机制,客户投诉"
基于实体多元编码的时序知识图谱推理*,"时序知识图谱,时序知识图谱推理,实体多元编码,时序注意力机制,知识图谱"
Reaction视频的用户弹幕评论行为生成机制探索——基于认知-情感系统理论*,"反应视频,弹幕,CAPS理论,扎根理论,评论行为"
基于实体与关系融合的知识图谱补全模型研究,"知识图谱,知识图谱补全,深度学习,图卷积网络"
面向中文医学文本命名实体识别的神经网络模块分解分析,"命名实体识别,神经网络,模块分解,中文医学文本"
基于任务知识融合与文本数据增强的医学信息查询意图强度识别研究,"医学信息查询,意图强度识别,文本数据增强,任务知识融合,BERT模型"
融合语义增强的社交媒体虚假信息检测方法研究,"虚假信息,语义增强,多模态,新浪微博,情感分析"
中文科技论文标题自动生成系统的设计与实现,"标题自动生成系统,中文科技论文摘要,文本生成任务,BERT-UniLM"
基于OCC模型和情绪诱因事件抽取的细颗粒度情绪识别方法研究,"OCC模型,细颗粒度情绪分析,情绪诱因,事件抽取,深度学习"
基于多标签Seq2Seq模型的情绪-原因对提取模型,"情绪-原因对抽取,多标签,Seq2Seq模型,BERT"
基于新闻标题-正文差异性的虚假新闻检测方法,"虚假新闻检测,异构图网络,差异性特征,舆情分析"
基于多层交互注意力机制的商品属性抽取,"属性抽取,交互注意力机制,依存关系,BiGRU,BERT"
创新二重性视角下明星发明人类型的早期识别,"明星发明人,创新二重性,早期识别,突破性创新,延续性创新,合作关系"
多维度个人学术轨迹绘制与分析,"学术轨迹,可视化,主题聚类,自引网络,演进"
一种面向海量科技文献数据的大规模知识图谱构建方法,"知识图谱,数据一致性,科技大数据"
从猿到人:探索知识服务的凤凰涅槃之路,
ChatGPT的技术基础分析,"ChatGPT,ChatGPT技术,生成式预训练模型,人工智能"
ChatGPT中文性能测评与风险应对,"语言模型,ChatGPT,人工智能"
ChatGPT给语言大模型带来的启示和多模态大模型新的发展思路,"语言大模型,预训练大模型,多模态预训练模型,ChatGPT"
ChatGPT对文献情报工作的影响,"ChatGPT,大规模语言模型,人工智能,文献情报工作,科学研究"
融入情感分析的多层交互深度推荐模型研究,"情感分析,特征挖掘,神经网络,多层交互,推荐模型"
基于混合词嵌入的双通道注意力网络中文文本情感分析,"粗糙数据推理,动态词向量,注意力机制,文本情感分析"
混合在线客服对消费者购买转化的影响研究,"人工客服,智能客服,购买转化,Logit模型"
重大突发事件下大群体靶向协同决策模型仿真研究,"重大突发事件,靶向协同,群体应急决策,系统仿真,动机认知理论"
融合知识图谱的中文医疗问答社区自动问答研究,"问答社区,深度学习,答案选择,知识图谱"
基于主题词共现的文档非对称关系量化研究,"非对称关系,共现,覆盖度"
基于提示学习与T5 PEGASUS的图书宣传自动摘要生成器,"文本摘要,提示学习,数据增强,TextRank,T5 PEGASUS"
基于对抗性迁移学习的药品不良反应实体识别研究,"对抗性迁移学习,多头注意力机制,命名实体识别,药品不良反应"
融合领域知识的医学命名实体识别研究,"医学命名实体识别,图神经网络,领域知识词典,乳腺癌超声检查报告"
学科交叉主题识别方法研究综述,"学科交叉,主题识别,引文分析,文本挖掘"
面向网络舆情事件的多层次情感分歧度分析方法,"情感分歧度,网络舆情分析,多层次,关联分析"
基于多头自注意力池化与多粒度特征交互融合的微博情感分析,"动态字词编码,多头自注意力池化,多粒度特征交互融合,微博情感分析"
基于双向掩码注意力机制的多模态情感分析,"多模态,情感分析,模态间交互,双向掩码注意力"
基于文本内容自动分类的跨学科测度研究,"跨学科研究,文本分类,文本挖掘,机器学习,跨学科测度"
基于超图的科研合作推荐研究,"超图,结构相似性,属性相似性,科研合作推荐"
基于Conv-BiLSTM模型的虚拟社区用户生成内容创新价值识别问题研究：交互协同的视角,"用户生成内容,交互协同视角,Conv-BiLSTM,创新价值识别"
面向重复消费场景的会话推荐算法研究,"会话推荐,序列推荐,自注意力网络,重复消费,边信息"
网评贴文自动生成方法研究,"网评贴文,序列生成式对抗网络,时序卷积神经网络,Seq2Seq"
融合多模态特征的深度强化学习推荐模型,"推荐,深度强化学习,多模态特征融合,用户-推荐系统交互"
大群体应急决策中基于价值测度的模糊本体知识融合方法及应用,"大群体应急决策,价值测度,模糊本体,知识融合"
MPMFC：一种融合网络邻里结构特征和专利语义特征的中药专利分类模型,"中药专利分类,专利相似度网络,特征融合,预训练模型,Node2Vec"
